工件编号(G_ID),轴向占用长度(mm),直接按X轴计算长度(mm),PCA-X轴长度差(mm),轴向单位向量ux,轴向单位向量uy,轴向单位向量uz,原始点数,有效点数,去重后点数,重复点数,孤立噪声点数,实际计算点数,最近邻噪声阈值(mm),来源文件
G1,191.809365,191.547,0.262365,0.999977785,0.0,0.006665499,808,808,800,8,0,800,0.977506,圆管1.csv
G2,149.240293,148.826,0.414293,0.999880876,-0.008359657,0.012974994,808,808,800,8,0,800,0.851964,圆管2.csv
G3,191.728737,191.547,0.181737,0.999989448,0.0,0.004593956,2020,2020,2000,20,0,2000,0.704893,圆管3.csv
G4,191.683662,191.547,0.136662,0.999989409,-3.6037e-05,0.004602232,1818,1818,1800,18,0,1800,3.014162,圆管4.csv
G5,75.0,75.0,0.0,1.0,0.0,0.0,1224,1224,204,1020,0,204,4.721257,圆管5.csv
G6,150.0,150.0,0.0,1.0,0.0,0.0,876,876,146,730,0,146,6.923057,圆管6.csv
G7,250.0,250.0,0.0,1.0,0.0,0.0,684,684,114,570,0,114,9.626835,圆管7.csv
G8,399.924008,399.924,8e-06,1.0,0.0,-2.12e-07,1176,1176,196,980,0,196,1.002302,圆管8.csv
G9,181.10555,181.033,0.07255,0.99999276,0.003804441,-8.3743e-05,1536,1536,256,1280,0,256,11.302193,圆管9.csv
G10,200.934337,200.0,0.934337,0.999686175,-0.021763415,-0.012405875,936,936,156,780,0,156,8.068763,圆管10.csv
